operation_id,booked_at,valued_at,operation_type,amount,balance_after,description
csv-2026-04-001,2026-04-01,2026-04-01,CARD_PAYMENT,-42.99,1200.50,BIEDRONKA WARSZAWA
csv-2026-04-002,2026-04-02,2026-04-02,INCOMING_TRANSFER,5000.00,6200.50,SALARY ACME
csv-2026-04-003,2026-04-03,2026-04-03,CARD_PAYMENT,-19.90,6180.60,UBER TRIP
csv-2026-04-004,2026-04-04,2026-04-04,CARD_PAYMENT,-129.45,6051.15,LIDL KRAKOW
csv-2026-04-005,2026-04-05,2026-04-05,TRANSFER_OUT,-850.00,5201.15,RENT PAYMENT APRIL
csv-2026-04-006,2026-04-07,2026-04-07,CARD_PAYMENT,-76.30,5124.85,SHELL STATION POZNAN
csv-2026-04-007,2026-04-08,2026-04-08,DIRECT_DEBIT,-59.99,5064.86,NETFLIX.COM
csv-2026-04-008,2026-04-10,2026-04-10,CARD_PAYMENT,-214.20,4850.66,MEDIA EXPERT ONLINE
csv-2026-04-009,2026-04-12,2026-04-12,TRANSFER_IN,250.00,5100.66,REFUND FROM ADAM NOWAK
csv-2026-04-010,2026-04-14,2026-04-14,CARD_PAYMENT,-33.70,5066.96,ZABKA WARSZAWA
csv-2026-04-011,2026-04-16,2026-04-16,CARD_PAYMENT,-18.99,5047.97,SPOTIFY
csv-2026-04-012,2026-04-18,2026-04-18,CASH_WITHDRAWAL,-300.00,4747.97,ATM WITHDRAWAL
csv-2026-04-013,2026-04-20,2026-04-20,CARD_PAYMENT,-156.80,4591.17,ALLEGRO PAYMENTS
csv-2026-04-014,2026-04-22,2026-04-22,TRANSFER_OUT,-120.00,4471.17,ELECTRICITY BILL
csv-2026-04-015,2026-04-25,2026-04-25,CARD_PAYMENT,-89.60,4381.57,ROSSMANN GDANSK
